index,delete,id,isclosed,rating,reviewcount,y_price,wrong,notes,correct_url
25,,JUGgD5WXc8eU5MoBKrfSGA,FALSE,4.5,61,$$$$,,,
26,,YAOG0dK0r9T-E1CrZ7QxYg,FALSE,4.5,75,$$,,,
27,,hQk1KtjFpixNv4UWyi0VAQ,FALSE,3.5,52,$$,,,
28,y,ga6sRtE0l85iftw_5-W84Q,FALSE,4,3716,$$,y,australia,
29,,X5sTOOvtKgZHd5F6-Usr6g,FALSE,5,8,,,,
30,,qH8PVeddtVs9cKN2pwgdkQ,FALSE,4,107,$$$,,,
31,,JCewNUA2d-CHcVwz8ZbqlA,FALSE,4.5,94,$,,,
32,n,7NInwhLvL6pghm_wod2FCw,FALSE,3.5,112,$$$$,y,,https://www.yelp.com/biz/the-aviary-nyc-new-york
33,y,TYKqS9eoC4xiixTNP_xsMQ,FALSE,3.5,960,$$$$,y,australia,
34,,tnulM-L3I11zaS8F0XxHQg,FALSE,4.5,23,$$,,,
35,,,FALSE,4,45,$$$$,,,
36,,7kgvqVnlsigUNuDWQaEggg,FALSE,3.5,61,$,,,
37,,CGah1h1clhuptjHaecu6xw,FALSE,4,100,$$,,,
38,,ugj4h67GK9hcvKgEIy5Tew,FALSE,3.5,95,$$,,,
39,,gUpIzy5Sj3br68sQDF9U3Q,FALSE,4,53,$$,,,
40,y,,,,,,y,australia,
41,,C7P5fqIdMKs85GiFNSVnpg,FALSE,4.5,50,$,,,
42,,22oLtXuFsvbJnMlqtuC0fA,FALSE,4.5,12,,,,
43,,ywAq9nvr9jX1S7-_HjA5ng,FALSE,4.5,85,$$,,,
44,,2V4seSDHMuqpkE0TxBqGXQ,FALSE,4.5,8,,,,
45,,4PeBRQZgHMW80J5YIaT39A,FALSE,4,90,$$,,,
46,y,,,,,,y,"NEW NORFOLK, Tasmania",
47,,tV2IY8q92bOEwVC4McgPjw,FALSE,4,235,$$$,,,
48,,7CdpBlw4NLaOLzfFL9IEUg,FALSE,3.5,67,$$,,,
49,y,,,,,,y,australia,
50,,xtxcAUvrD4dWHJd0cwvW1A,FALSE,4,145,$$,,,
51,,OR9oqAJW-U5ZnqhwH12Nuw,FALSE,4,32,$,,,
52,,e64Y17DJgjotSz8B9gEI7Q,FALSE,4.5,165,$$,,,
53,,seGYMEYsw6F_H33Md1E1dA,FALSE,4,599,$$,,,
54,y,,,,,,y,new south wales,
55,,8TfhQaCxux6Eq8SK8iqyoQ,FALSE,5,35,$$,,,
56,,28CNHYULci66pJAz-0_pOg,FALSE,4,390,$$$,,,
57,n,VA5axRu3No9IvHVu86zAvQ,TRUE,4.5,60,$$,y,going to delete,
58,,iIcUpEOjMLuzAIfyY_vgYA,FALSE,3.5,477,$$,,,
59,,8tcFpd0dcmfzbLgbTO4tdw,FALSE,4,135,$$$,,,
60,,bOMXop8H92zupzxlVulfoA,FALSE,4,8,$,,,
61,,1Ed-tb_0dBGrXfsYyehmvg,FALSE,4,2243,$$$,,,
62,y,j0n_poMVZnODYOFviLbh0Q,FALSE,4.5,1418,$,y,australia,
63,,GVaTZnN7a-DkrK57l7BbGw,FALSE,4,48,$,,,
64,,Myp2rEB3yEcdaZIRe0S3Ww,TRUE,3.5,133,$$,,,
65,,u3YHSsqkj-7Z1moxVWZCsg,FALSE,3.5,46,$$$$,,,
66,,2tTUnW5filzR3YG-G7rZ0w,FALSE,5,45,$$,,,
67,,N81_5xlY7dpEqrygi8lVOA,FALSE,3.5,124,$$$,,,
68,,SyEi1P5FKCBiAIZ14RggmA,FALSE,4.5,83,$$,,,
69,y,eybrq-0U5suwVtjWJPCaqw,FALSE,3.5,340,$$,y,"providence, ri",
70,,UtaQOLAlY3HbBVa5OYvh8A,FALSE,3.5,320,$$,,,
71,n,fXbktwTnRNpx5GtHVhNkKw,FALSE,4,23,$,y,link already fixed,
72,n,IQhtCTvorekeqbJr4Zf0Lg,FALSE,4.5,25,$$$,y,link already fixed,
73,n,rkeH5HJIuX7ZcOaYNum9xA,FALSE,3.5,151,$$,y,,https://www.yelp.com/biz/wus-wonton-king-new-york
74,,4LV-7hGnfimAhoAuYhgvEg,FALSE,3.5,980,$$$,,,
75,,IBmZcsqsk8mVmQPY8zKqgw,FALSE,4,29,$$,,,
76,,FogLdooqSzKbmkwMGSwDiQ,FALSE,4,631,$$,,,
77,,-4pMakL1204UWQMZho5-Lw,FALSE,4.5,58,$,,,
78,,Scs2L-4imyt_lorJ6biFKA,FALSE,4.5,75,$,,,
79,n,hXqrA_Z3jZ8Q1O6ZehWSwQ,FALSE,4.5,187,$$,y,,https://www.yelp.com/biz/samis-kabab-house-astoria
80,,CAXzWJyV2UzYMAImM_YkWA,FALSE,4,107,$$$$,,,
81,,PWFK0nvJ23Xkk_B4C5Q4Aw,FALSE,4.5,53,$,,,
82,,nHU9WZRVASyqguAIqLXK8w,FALSE,4,197,$$,,,
83,,Xa91UwBtZaUPpTygSm3qSw,FALSE,4,167,$$$,,,
84,,FMwu9h0KUl3mFDuE-WDbcw,FALSE,4,132,$$,,,
85,,SZQqAil4kuXhNCLR7_6khg,FALSE,4,144,$$,,,https://www.yelp.com/biz/playground-bar-and-bistro-and-taitoon-thai-karaoke-jackson-heights
86,,FkA9aoMhWO4XKFMTuTnl4Q,FALSE,3.5,170,$$,,,
87,,cLxp5gIPWIhmvpmdPo7BsA,FALSE,4.5,182,$,,,
88,,bZQryeTD6hIsT6lSUxzSSw,FALSE,4,332,$$,,,
89,,m2Zsy2UAkcDf0cRzk2Yoqw,FALSE,4,489,$$,,,
90,,x64xHVZoQj1ZOjzPqVprkw,FALSE,4,201,$$,,,
91,,tSL-m56i_b8muApMagaanQ,TRUE,4,18,$,,,
92,,1gK-0_lGqjxbwiHWcXXdzg,FALSE,4,255,$$$,,,
93,,WyiTT3VHjzowMnOnUpZ7TQ,FALSE,4,190,$$$,,,
94,,r4FfpVF0v48QznLawd4w8w,FALSE,3.5,242,$,,,
95,,vXYFa2qzppkGiOiVPrLwDQ,FALSE,4,480,$$$,,,
96,,AOruLMQHtKQd42lJN1nWlg,FALSE,4,54,$$,,,
97,,hg9XXLb2AeJHJ7eX-6JnMg,FALSE,4.5,108,$$,,,
98,,HJg9TbpyWvb6-AFPdb7NCA,FALSE,4,106,$$$,,,
99,,71_8yA0L_FCwfgC-8KQjXA,FALSE,3.5,75,$,,,
100,,MdDj13LgIs0WdbIdiyqB7Q,FALSE,4,191,$$,,,
101,,SyvC0s3y0ZrtnLbwnvw7tw,FALSE,3.5,1197,$$,,,
102,,dJdIEYv56jTBkU6hAnSypw,FALSE,4.5,92,$$,,,
103,,-7iUpGTNDdy4WjxLGYp-_g,FALSE,4.5,72,$$$,,,
104,,7rxg-tWPc1jK7Cikn5R86g,FALSE,4,414,$$,,,
105,,G-lgChurQ6xYYWdi7LuwyQ,FALSE,3.5,128,$$$,,,
106,,NydHMLL3iWR52oMd1s0GIQ,TRUE,4.5,22,,,,
107,,RYoc4EBUNOtgbg7c32OG9A,FALSE,4.5,202,$$$,,,
108,,6eihmCzFJvolelWSW7-VPQ,FALSE,4.5,20,$$,,,
109,,AKHA6ZU8uM3vmLwH2hqH_A,FALSE,4.5,232,$$$,,,
110,,MDWt-rtGxUnIcpIi-817Rg,FALSE,4,107,$,,,
111,,lXGCo-K7eftxRT_6E59-Iw,FALSE,4,1055,$$$,,,
112,,,FALSE,4.5,8,,,,
113,n,41kYchR12Eclmp1w_EzpfA,FALSE,4.5,100,$$,y,,https://www.yelp.com/biz/wafas-brooklyn-6
114,,4Jp0wdJXLpmgCwWv6o6YEQ,FALSE,4,192,$$$$,,,
115,,ieOIBz6Gfqmwm1B0wUzh9g,FALSE,4.5,389,$$,,,
116,,,FALSE,4,2212,$$$$,,,
117,y,,,,,,y,,
118,,FyFeyjndrXHDnN-z9-qv_w,FALSE,3.5,169,$$$,,,
119,,0ePn6TQSJQky4ueKeGQvpQ,FALSE,4,538,$$$,,,
120,y,JH2vhNxA2MNRtaL4a2B4tQ,FALSE,4,1049,$$,y,"austin,tx",
121,,SU_l4Zf7TLTPD0F9eH_oEg,FALSE,4,200,$$,,,
122,,XzKGxGoKCCNqTolEPXQwHw,FALSE,4.5,129,$$,,,
123,,zzZ366NuT7PCfVuPAySnaw,FALSE,4.5,10,$,,,
124,,m9Q9x-Hcxp24gZCaTTJY-A,FALSE,4,112,$$,,,
125,,80h4Y4OwRBzSZqH1-0i35g,FALSE,4.5,38,$$,,,
126,,CesS-E8Q3ztX6VnkXO6wBg,FALSE,3.5,167,$$$,,,
127,,inftQdKaEEiqQ323AlomXg,FALSE,4,164,$$,,,
128,,JAMTUBtdGZqRSEli6u_nHw,FALSE,3.5,171,$$,,,
129,,vW7sMAxt4YcUS8tWONaX2g,FALSE,4.5,209,$$,,,
130,,5OfCQDtwqKiYAcsi-NABjQ,FALSE,3.5,156,$$$,,,
131,,xymropCDcEvCYGKC0AKe-w,FALSE,4,133,$$,,,
132,n,wua1Rw6xlIm6VYVy44G87g,FALSE,3.5,122,$$$,y,changed name,
133,,6YsCjSkCoUJ6rVDJe04Yuw,FALSE,4.5,187,$,,,
134,,l7G5tDA96xbA_bx1ZgkOeg,FALSE,3.5,881,$$,,,https://www.yelp.com/biz/ichiran-brooklyn-brooklyn
135,,oe8GEFE4QLFAKt87y7zcgA,FALSE,4,536,$$,,,
136,,z_-ITx8x-WUhz5FnC6Y8BQ,FALSE,3.5,73,$$$,,,
137,,3H4FH_pYolFe_PQmFewRzA,FALSE,4.5,47,$$,,,
138,,P2CTp4xyaNCe2AXSiLeOSQ,FALSE,4,551,$$$,,,
139,,q202UCgXiL2H53LsHeDsQA,FALSE,3.5,34,$$$$,,,
140,,Eyn7hQENF8R9DrBwBHO6lQ,FALSE,4.5,32,$,,,
141,,UM3DuPsG6UKdmsC23O_Icw,FALSE,4.5,66,$$$$,,,
142,,Kqb7MjTPNkjPMoFRd-rWpw,FALSE,4,415,$$,,,
143,y,SMGsYvfRNIlJc8ZgUjXQow,FALSE,2,9,,y,"washington, dc",
144,,xpW1GmI-IETWNGwMl11cBg,FALSE,4,142,$,,,
145,,01QgNCtuW0rZXlwY8dGCrw,TRUE,4.5,21,$,,,
146,,WJS06XxRdc6DD1s4LWE9HA,FALSE,4,226,$$,,,
147,,fVbUVAiLiGgLA_nxBFxyww,FALSE,4.5,899,$$,,,
148,,J9UA6rzI5WW_cDGjwDnF5g,FALSE,4,1236,$$,,,
149,,fm9cTs8-LdtTvRltHKIK3Q,TRUE,3.5,211,$$$,,,
150,n,fyMvuxZBN5W6aRJrIJVm9A,FALSE,4,165,$,y,,https://www.yelp.com/biz/violets-vietnamese-shoppe-forest-hills
151,n,ue6IQBYWDjjMiSScxA-2vw,FALSE,4,34,$$,y,,https://www.yelp.com/biz/df-nigerian-food-truck-new-york
152,,obFs12x7mgYPGxgalBd22w,FALSE,4,354,$$$$,,,
153,,jR09vZmJnwKPw4DyMxgwnw,FALSE,4,370,$$$,,,
154,,vTwc9qWomRIftDEIyeBDAQ,FALSE,3,274,$$$,,,
155,,s29dItNA_qBmeGhrvnkSCA,FALSE,4,201,$$,,,
156,,eyjeP9CJZ_gYgeJFP_vtpQ,FALSE,4.5,64,$$$,,,
157,,p_YuOfkcjZP9g0omryT31Q,FALSE,4.5,61,$$,,,
158,,uy7QmtN9Sdb8z5hm2_VZSQ,FALSE,4,206,$$,,,
159,,sMoKKcyUslHmHe0NmCYgfg,FALSE,4,236,$$,,,
160,,mpxgyGnJsomLOzKRsCK1TA,FALSE,3,185,$$,,,
161,,ys6rqS7Cr1IZ2kB1TNYE4w,FALSE,3.5,161,$$,,,
162,n,6gD2rXvCO10sFxB4P4WixQ,FALSE,4,192,$$,y,misspelled,https://www.yelp.com/biz/tong-sam-gyup-goo-ee-flushing
163,,ux0VSvX7nGaC3YqamjhL9Q,FALSE,4,545,$$,,,https://www.yelp.com/biz/flip-sigi-new-york-2
164,,2Ugmqz5WYg_kACr8pKPrYA,FALSE,4.5,81,$$$$,,,
165,,keOMomcnyrJEQvFtfEYadg,FALSE,4,69,$$,,,
166,,scTDvJ2M2jDbb1ntVeIyxA,FALSE,3.5,379,$$,,,
167,,7X3hB3KtkHVKk1GZKAnlbA,FALSE,3.5,44,$$,,,
168,,vGQRmWKrR_x-JAyeCT5F1A,FALSE,4,125,$$,,,
169,n,lAfZ2bVbNcWEgnTW6mzfuA,FALSE,4,839,$$$,y,going to delete,
170,,aGv9UFGKSHfTS26dzaU43g,FALSE,4.5,178,$$,,,
171,,TltwCBJXifqJ1Ruy3qCKyQ,FALSE,4,112,$,,,
172,,yrXECkTezsI0Twgalc7M-A,FALSE,4.5,258,$,,,
173,,NirY5TkWZBNuuAgbjdG0AA,FALSE,4,59,$$,,,
174,,veq1Bl1DW3UWMekZJUsG1Q,FALSE,4.5,2506,$$$$,,,
175,,Ulr_Nyp2nvt82EPH_BiftA,FALSE,4,228,$$$,,,
176,,hlJnwmsxFQ9uB3JtRwJQJg,FALSE,4,140,$$$$,,,
177,,lcI9kOcRqxxMhM4b5pHqsg,FALSE,4.5,168,$$,,,
178,,AWeQkgJ0uzNr5YxFr2Bx8g,FALSE,3.5,158,$$$,,,
179,,f2DevPBn93EdzBL0I0CQ9Q,FALSE,4.5,28,$$,,,
180,,t1Pv_ScBZpyZjtN-sqlhbg,TRUE,4,8,$$,,,
181,,UPWw9bfj0-7CJqxTIY8gxg,FALSE,5,18,,,,
182,,mjGdtrh0tX7I91GM9dlMNg,FALSE,4,116,$$$,,,
183,,DodCeSN_hkXCJDoJ0uVxKg,FALSE,4,350,$$$,,,
184,,MOTZjYcyAwqUhxXIrrfoww,FALSE,4.5,107,$$,,,
185,n,2RgpeADI0A9U4Gz5lke8cg,FALSE,4,151,$$$,y,,https://www.yelp.com/biz/freeks-mill-gowanus
186,,uAy3zyNCmDPO0RpdGjEAdg,FALSE,4,513,$$,,,
187,,YjkEjOJ05z4MVDmbrWvWdQ,FALSE,4,387,$$,,,
188,,TC6mrFU6T1txRrxmGtF3nA,FALSE,4,53,$$$,,,
189,,DjLxykRuP8OFtGtPPZpfdQ,FALSE,4,63,$$,,,
190,,ckA5dhV4ve-QZXUBFI6TUA,FALSE,4,265,$$$,,,
191,,MyHqb7VaNfNysHWmOdXpIA,TRUE,4.5,44,$$,,,
192,,kpoFMjX8cIPeoWR1C-CV6A,FALSE,3.5,304,$$$,,,
193,n,WI05doY7Zskp-hfdCODRxQ,FALSE,5,4,,y,link already fixed,
194,n,fFkqEyupjc5x2iJQIPcpLw,FALSE,4.5,136,$$,y,,https://www.yelp.com/biz/ruffian-new-york-4
195,,1_pK5aQ47atF50oAKHADhA,FALSE,4.5,379,$$$$,,,
196,,deJwwVdY2L88MAMKxE5S7A,FALSE,4,200,$$,,,
197,,os09iVkYkzIg9G1xEIepiA,FALSE,4,419,$$,,,
198,,za9mYaRVWkwKkQfjRgvU0g,FALSE,4,250,$,,,
199,,RUL5ICRMDWEnJPbviJYVQA,FALSE,4,158,$,,,
200,,uboO7T3XSnl8iq0uQWhMXA,FALSE,3.5,110,$$$,,,
201,,zMV3am6rEoP43jLeHvzUeA,FALSE,4.5,54,$,,,
202,,B0IXsKwCk21hNQffYPJmHA,FALSE,3.5,186,$$,,,
203,,qTWujv2b2ZuxJPiZFsqbFQ,FALSE,4,17,$$,,,
204,,NjBgTtcJgdXKLvqYt3C8CQ,FALSE,3.5,78,$$,,,
205,,3LNcgFUGdwJil-KDQPZmdQ,FALSE,3.5,2790,$$$,,,
206,,QaXo7ZhglTcSWHLQ8QNY4A,FALSE,4.5,248,$$,,,https://www.yelp.com/biz/bk-jani-bushwick
207,,YoLxK5EG8UgnueKAe7hj0g,FALSE,4,254,$$$,,,
208,,50vyTIdqKI_wsSqzaEtovg,FALSE,4,119,$$$,,,
209,,zwOAiVT4pAmpNGXzj-t5MA,FALSE,4,483,$$$,,,
210,,CaizM2WaGPX5eRLDOJaqIw,FALSE,4.5,197,$$,,,
211,,1vSx0gpTqro-N73NGKneEA,FALSE,3.5,168,$$$,,,
212,,Oq1mej1BYfjcdPKkM_5o8g,FALSE,4,317,$$,,,
213,,xH7mEjh4Rn6KdHjXYNoOjw,FALSE,4,591,$$,,,
214,,I1AqEw-O6spamgtJLNPjBg,FALSE,4.5,248,$$,,,
215,,ipv4lBvbfVzCnSahqrJckQ,FALSE,4,247,$$,,,
216,,1Mqydw0kcU_dgRgsWpo_7g,FALSE,4.5,341,$,,,
217,,ozkp8E5BGRg0gzjbFzuaEA,TRUE,4.5,109,$$,,,
218,y,WIhm0W9197f_rRtDziq5qQ,FALSE,4,5493,$$,y,,
219,,pyfIejcRwhpc1NzuJyd6FQ,TRUE,4,11,$$,,,https://www.yelp.com/biz/east-coast-poke-new-york
220,,BBPiBgyMmLX5RzaKCB0AeQ,FALSE,4,327,$$$,,,
221,,s8fqj5tqibEsRGXHMxhOEQ,FALSE,4,222,$$,,,
222,,lESxFswvOPUFUzj6HsTnqw,FALSE,4.5,664,$$,,,
223,,IzY4xwbY7YqPoL_-xCSeRA,FALSE,4,389,$$,,,
224,,Dx5TWQbJb7sRr7BRCz40xg,FALSE,3.5,61,$$,,,
225,,3gtheZvv3Or0YzWXIl3SJg,FALSE,3.5,391,$$$,,,
226,,Y331N32AeN-s5fFRe-bLuA,FALSE,3.5,63,$$,,,
227,n,fkrwjFipOrFzywuH-hwyJQ,TRUE,4.5,45,$$,y,link already fixed,
228,,Itg3FiXNyf9NXKegy46Lwg,FALSE,4,70,$$,,,
229,,1DfbZ0VsSCg9g1KILmnvzQ,FALSE,4.5,1403,$$$$,,,
230,y,omIhyLydbGyFAjOdECIGJA,TRUE,3.5,4,$$,y,"relocated to miami, fl",
231,,mOL7TxRDJGutaEtVA8_hUg,FALSE,3.5,453,$$$,,,
232,,r2JVKalbucGf2nryywuL2w,FALSE,4.5,284,$,,,
233,n,gTEoEsssfbjl76Opf5bP9g,FALSE,3.5,320,$$$,y,,https://www.yelp.com/biz/l-amico-nyc-new-york
234,,E3G8CzSsZgU2bT6WYLsxRw,TRUE,3.5,90,$$$,,,
235,,95a04LtXLX6gePhPEwff9A,FALSE,4.5,259,$$,,,
236,,KtL6xhVJZq6dzAYlfcHvyw,FALSE,4,185,$$$$,,,
237,,GtfhGhWmr1kQ4EnFTlwg7w,FALSE,4,1478,$$,,,
238,,ieXKc6S3WlEiVkyxgaF9Ig,FALSE,4.5,81,$$$$,,,
239,n,ohqZeuwInNokEj1f4_qUNw,TRUE,3.5,399,$$,y,,https://www.yelp.com/biz/jimmys-no-43-new-york
240,,,FALSE,4.5,171,$$,,,
241,,UNX40pcYuNtbAUFE84dgFw,FALSE,3.5,215,$$$,,,
242,,gdQnW4OB_oHjaf67Ir-lFg,TRUE,3.5,164,$$,,,
243,,Q6quwwLiwx_47SRd3tItvA,FALSE,4,146,$,,,
244,,WHXgDm3kcU-aONfjR8tX0A,FALSE,4.5,190,$$$$,,,
245,,VR4Ki8V4f_B7GAGJSY9TRQ,FALSE,4.5,273,$$$,,,
246,,pepM7-yv4-jCT6S1nl6fPg,FALSE,4.5,117,$,,,
247,,kLyS_dfIwCPdkVODMlkkeg,FALSE,4,192,$$,,,
248,,GticI2JB8Iw2ktRfLv6aRQ,FALSE,4.5,220,$$$$,,,
249,,5mOzZ17qU_8ijlP54Q206Q,FALSE,4.5,147,$$,,,
250,,Jy0nQ1uI8KPvTv8nBZGdMg,FALSE,4,138,$$$,,,
251,,tIjQyHOubGeKRnx4wSwOeA,FALSE,4.5,456,$,,,
252,,E3MkTTS4ZDjWV9YT5i6eUg,FALSE,4,77,$$$,,,
253,,pDwhlX9jNBGnjvyGR9jYWQ,FALSE,4.5,287,$$$$,,,
254,n,ooHTw6KGNXsKj5TmyHKVuQ,FALSE,4,412,$$,y,,https://www.yelp.com/biz/lucys-vietnamese-kitchen-bushwick-2
255,,8PhwiTru5teSaZ8C6hrIww,FALSE,3.5,1117,$$$,,,
256,,4Kv4EVmrQ8TdlSD7MW0wHg,FALSE,3.5,102,$$,,,
257,,tf3RVircY9-8adku41N6VQ,FALSE,4,436,$,,,
258,,VDz9n7gwcq51wOAbTBdXxA,FALSE,4.5,208,$$,,,
259,,vRqj40pRwz0OHHRVgOdgRg,FALSE,4,281,$$$,,,
260,,FsuJ7VC5vxX3wcLhFrb97Q,FALSE,4.5,400,$$$,,,
261,,85qHcO9eEcf01d-qE41Xqw,TRUE,4,60,$,,,
262,,kkyHnaqIBW7WaJ-z_YooCA,FALSE,4,237,$$$,,,
263,,_eZPWzxHhAEEaJ7CXYavCA,FALSE,4,194,$$,,,
264,,vx7SbIWI44ZsjbYaA7IzjQ,TRUE,4,22,$,,,
265,,_4Grm99JEHnDWskCHAJfUg,FALSE,4.5,441,$$,,,https://www.yelp.com/biz/kikis-new-york
266,,NebgteFykeM1gwiVgPcCHw,FALSE,4,498,$$,,,
267,,huOYFLpe3EQKFeDVoxk6Hw,FALSE,3,258,$$,,,
268,,rCpO-kMHljieU0geK0RJQw,FALSE,4,357,$$$,,,
269,,TMzgYJWl-DeKaA3kGcuK8A,FALSE,4.5,329,$$$,,,
270,,3Q4FMHLSTM8sATaEHeZ6Tg,FALSE,4,152,$$$$,,,
271,,sqTPK6Ns5-_ZoczUC4JWJQ,FALSE,4.5,125,$$,,,
272,,lpLd3AFaMOV7LfPtvUiq8A,FALSE,3,652,$$,,,
273,,7OMGEtFWT6sdd9TVuoGqJQ,FALSE,4.5,372,$$,,,
274,,KJNXC2NtxRPeu_nkk1PC4A,FALSE,4,61,$$,,,
275,n,kPn2rKOTyIn-l_jRUstHCQ,TRUE,4.5,58,$,y,,https://www.yelp.com/biz/crepes-canaveral-from-brittany-new-york
276,,f7apP8A_0_KqcGQTK4V2TQ,FALSE,4,664,$$$$,,,
277,,6ezrABEThm48qv1qj8_FVw,FALSE,3.5,66,$$,,,
278,,BxB7lV381jp5pmosnIBpGA,FALSE,4.5,235,$$,,,
279,,5m-TrbqMNnwJvOd7pAt6OA,FALSE,4,936,$$,,,
280,n,_7lJD4cLAFEp0xCOacUy5g,FALSE,3.5,37,$,y,link already fixed,
281,,RElijPqDOAPTHT3J4n_FEA,FALSE,4,958,$$,,,
282,,9FwX2ye1eCxnPVoQOHHr3g,FALSE,4.5,137,$$,,,
283,,sJPayLq6EqepJbPGLlFfHw,FALSE,3.5,162,$$$,,,
284,,nw5_0jb_u2a6nUt4Je09Xg,FALSE,4.5,185,$$,,,
285,,gGkkzrcHh1xS-S55OsuKsw,FALSE,3.5,538,$$$,,,
286,,mhhTORjUdXj-UIDjyGmhBg,FALSE,4,746,$$$$,,,
287,,7ZecxKox2SiVtsNDWphJZQ,FALSE,4,318,$$$,,,
288,,cqdg3bP870-y2cHzckLcFw,FALSE,4.5,104,$$,,,
289,,4U6AEMuTx34o3i84G0Hc0w,FALSE,4.5,183,$$,,,
290,,0yzuScoOUNJzgJLb0WGGEg,TRUE,4,99,$$,,,
291,,np7wKWwTAhetwpXqsWpFkQ,FALSE,4,307,$$$,,,
292,,nRO136GRieGtxz18uD61DA,FALSE,4.5,1826,$$$$,,,
293,,qpkFmGyvbZv-g2fbwyNQUg,FALSE,4,370,$$$,,,
294,,MOtHnl_Zeld-D1slHKg__w,FALSE,3.5,177,$$,,,
295,,hdBhZcdZGHkTESrldAObJg,FALSE,4.5,124,$$,,,
296,,jnHbdsqlTKlPcmJ8BCP9-g,FALSE,4,270,$$$,,,
297,,i8F0fnempD5fTb2CxbwKDw,FALSE,4,215,$$,,,
298,,XpgquUrYWa-URbgi-3pykg,FALSE,4,314,$,,,
299,,EBIjeMlkgU12CyCcUDj-kg,FALSE,4,227,$$$$,,,
300,,tt857dHOw0ne9iu5svMlRg,TRUE,4.5,3,$$,,,https://www.yelp.com/biz/patina-african-restaurant-bronx
301,,1m6viubAWUgsTgguIrJT6A,FALSE,3.5,709,$$$,,,
302,,wjmcMQj1StNTNdKnkidcGg,FALSE,4,52,$,,,
303,,MIuFXBFthAWeEMxyP_lm9A,FALSE,3.5,1604,$$,,,
304,,XOnspIaW6mYVmrvgqOaYSQ,FALSE,4,526,$$,,,
305,,yHXJFk_oialGqTUfyMVfoQ,FALSE,4,373,$$$,,,
306,n,UO4kyXfdQIlAhM-TRgM9cw,FALSE,4,237,$$,y,link already fixed,
307,,Z-hDHjP4Eza6BA4G97tzVA,FALSE,4,575,$$,,,
308,,xkvv0n7jbl4Ra3Vm_jfxaA,FALSE,4,753,$$$,,,
309,,,FALSE,3.5,42,$$$$,,,
310,,GcBZDgOKOP-RkH_mI-DS9A,FALSE,3.5,665,$,,,
311,,lGLeaVcg7U4tOfJFhVqGng,FALSE,4,75,$,,,
312,,S-619sO8qSxQcis0DBHvNw,FALSE,4,439,$$,,,
313,,nBkSqOhZMa1A7Yk3q8VPaA,FALSE,4,528,$$$,,,
314,,Z6koXxi6wgNKcZdsV7dDRw,FALSE,4.5,59,$$,,,
315,,rZ9OFoSqy8u4WECfh--ylg,FALSE,4,703,$$$,,,
316,,EhNjU4yJ6DRIliUNSjwYbw,FALSE,4,155,$$$,,,
317,n,WZRFk3t0U8gGki1GR9Avzg,TRUE,4.5,27,$,y,,https://www.yelp.com/biz/carnitas-el-atoradero-bronx
318,,3mSoxaXfEoJz-ALRiENNEw,FALSE,3.5,264,$$,,,
319,,qdVL69R5IKw6UcBasqLu-w,FALSE,4,28,$,,,
320,,R7EGjHWw0tNheY6-ahH8fQ,FALSE,4.5,335,$$$,,,
321,,4Objcs7HXSGuzpb0SOa-Jw,FALSE,4.5,884,$$$$,,,
322,,SNhDVaf_n7VDZcfry8mYdA,FALSE,3.5,930,$$,,,
323,,kvIrv1akLm08kxd44ciicA,FALSE,4,184,$$$,,,
324,,DUnRsZh-pSOsIhQa3ZJrEA,FALSE,4,86,$$,,,
